1,6699,5454
2,2216,2820
3,2231,7601
4,2362,4934
5,8034,1970
6,1154,9837
7,9693,8048
8,955,6925
9,3490,2709
10,9837,9731
11,4004,6254
12,8411,6354
13,888,4956
14,8336,4328
15,7067,7837
16,9647,9737
17,5023,2943
18,6902,8447
19,3026,7760
20,2266,5846
21,3004,7004
22,3001,418
23,3640,9030
24,6976,6321
25,9564,5263
26,1000,5520
27,3878,344
28,5257,6160
29,3755,1421
30,2680,3488
31,200,8892
32,8972,7139
33,2829,4702
34,7302,913
35,8882,8815
36,488,135
37,844,2419
38,7838,2990
39,3989,9960
40,8959,1996
41,3854,3029
42,5874,2128
43,3738,4402
44,6961,5334
45,3695,2783
46,5986,7757
47,6485,7605
48,2783,2463
49,9604,8824
50,8552,5051
51,8051,6383
52,6021,8320
53,815,9024
54,7055,9183
55,6383,3728
56,1763,1169
57,5773,5933
58,4111,2101
59,8527,8533
60,6284,5550
61,2881,9463
62,1665,2531
63,9882,798
64,1747,4219
65,8220,3612
66,8923,8506
67,5802,9387
68,6029,5178
69,7963,4862
70,9289,1019
71,9794,980
72,2838,5439
73,9778,9155
74,9910,1708
75,3829,6348
76,6889,4402
77,8436,5029
78,3792,7705
79,3957,2313
80,4730,425
81,5345,1232
82,9496,6053
83,4388,1238
84,2570,4894
85,3923,8314
86,8866,4684
87,6686,8392
88,4413,1422
89,8438,3538
90,4668,9851
91,4857,422
92,299,6858
93,3939,9945
94,7070,2432
95,9496,2869
96,9753,4793
97,1395,743
98,911,5028
99,4938,1209
100,2379,4046
101,7550,496
102,8097,9958
103,5531,3107
104,9218,3816
105,308,7834
106,2795,3254
107,2136,6645
108,1320,9990
109,1240,9196
110,2282,5445
111,8536,2704
112,4505,2195
113,8713,9735
114,7510,9687
115,8691,3583
116,4903,4422
117,9930,3307
118,2370,8711
119,143,8695
120,8914,779
121,1786,2329
122,1670,1004
123,7321,9217
124,8502,9290
125,7099,5700
126,9500,9514
127,9103,1443
128,4340,8283
129,6748,2504
130,4753,4850
131,1852,8057
132,3766,1000
133,6117,4807
134,700,4656
135,1176,1904
136,5616,3846
137,8129,7966
138,4259,7900
139,7117,1023
140,2656,8201
141,2126,7224
142,5167,4220
143,8656,525
144,4494,293
145,9107,4954
146,5222,2420
147,4278,4773
148,4612,2982
149,3273,3610
