1,1000,1000
2,2223,192
3,8831,7522
4,8340,3682
5,1574,4287
6,7664,1844
7,2325,8210
8,5934,9736
9,693,4811
10,5854,5213
11,8697,9604
12,7905,1982
13,1813,1045
14,5479,3483
15,2949,6892
16,5889,5394
17,8027,1384
18,8606,5875
19,4628,4097
20,1977,9803
21,8390,6755
22,1226,1435
23,8,350
24,9744,5206
25,3032,9589
26,615,4206
27,8260,1166
28,3848,7552
29,8243,895
30,9930,7914
31,5952,7608
32,9660,4138
33,6331,5561
34,3065,5274
35,3156,4896
36,9488,3780
37,7010,9785
38,8216,5076
39,783,536
40,6676,1938
41,7865,7370
42,5529,6199
43,4990,6755
44,3812,2812
45,2102,9874
46,3497,7819
47,7845,9714
48,5538,3227
49,5061,934
50,3539,8884
51,3616,8876
52,4507,5763
53,7009,2477
54,5301,9055
55,9418,2355
56,5533,6658
57,4717,2509
58,4929,7193
59,8808,2000
60,7587,6866
61,3859,1758
62,1855,4166
63,2546,217
64,1109,2952
65,6058,5374
66,1296,5618
67,506,7865
68,8305,5370
69,8651,6430
70,3341,8425
71,9323,1613
72,1791,3809
73,808,9102
74,7760,220
75,9681,5227
76,1936,1458
77,1332,6822
78,982,6626
79,7994,5807
80,1521,9719
81,5057,7349
82,3488,9860
83,1979,8507
84,9589,498
85,9137,2157
86,5164,8950
87,1178,3358
88,9233,8986
89,6133,3601
90,6282,2994
91,2430,1762
92,8969,7202
93,5749,5346
94,1456,8505
95,5001,1900
96,5377,3275
97,2065,1238
98,9590,5404
99,8890,6482
100,9319,5027
